,ID,author,year,title,keywords,journal,eprint,doi,adsurl
1525,Saiz-Perez2022MNRAS.512.3815S,"Saiz-P\'erez, Ainara and Torres-Forn\'e, Alejandro and Font, Jos\'e A.",2022,Classification of core-collapse supernova explosions with learned dictionaries,machine-learning,MNRAS,2110.12941,10.1093/mnras/stac698,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3815S
1526,Schaurecker2021arXiv211106393S,"Schaurecker, David and Li, Yin and Tinker, Jeremy and Ho, Shirley and Refregier, Alexandre",2021,Super-resolving Dark Matter Halos using Generative Deep Learning,machine-learning,arXiv e-prints,2111.06393,,https://ui.adsabs.harvard.edu/abs/2021arXiv211106393S
1527,Schmidt2022arXiv220311757S,"Schmidt, Kevin and Geyer, Felix and Fr\""ose, Stefan and Blomenkamp, Paul-Simon and Br\""uggen, Marcus and de Gasperin, Francesco and Els\""asser, Dominik and Rhode, Wolfgang",2022,Deep Learning-based Imaging in Radio Interferometry,machine-learning,arXiv e-prints,2203.11757,,https://ui.adsabs.harvard.edu/abs/2022arXiv220311757S
1528,Schuldt2021A&A...651A..55S,"Schuldt, S. and Suyu, S.~H. and Ca\~nameras, R. and Taubenberger, S. and Meinhardt, T. and Leal-Taix\'e, L. and Hsieh, B.~C.",2021,Photometric redshift estimation with a convolutional neural network: NetZ,"photometric-redshift, machine-learning",A\&A,2011.12312,10.1051/0004-6361/202039945,https://ui.adsabs.harvard.edu/abs/2021A&A...651A..55S
1529,Sedaghat2021MNRAS.501.6026S,"Sedaghat, Nima and Romaniello, Martino and Carrick, Jonathan E. and Pineau, Fran\ccois-Xavier",2021,Machines learn to infer stellar parameters just by looking at a large number of spectra,machine-learning,MNRAS,2009.12872,10.1093/mnras/staa3540,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.6026S
1530,Seo2020JAI.....950011S,"Seo, Young Min and Goldsmith, Paul F. and Tolls, Volker and Shipman, Russell and Kulesa, Craig and Peters, William and Walker, Christopher and Melnick, Gary",2020,Applications of Machine Learning Algorithms in Processing Terahertz Spectroscopic Data,machine-learning,Journal of Astronomical Instrumentation,2009.01203,10.1142/S2251171720500117,https://ui.adsabs.harvard.edu/abs/2020JAI.....950011S
1531,Sesar2014ApJ...793..135S,"Sesar, Branimir and Banholzer, Sophianna R. and Cohen, Judith G. and Martin, Nicolas F. and Grillmair, Carl J. and Levitan, David and Laher, Russ R. and Ofek, Eran O. and Surace, Jason A. and Kulkarni, Shrinivas R. and Prince, Thomas A. and Rix, Hans-Walter",2014,Stacking the Invisibles: A Guided Search for Low-luminosity Milky Way Satellites,machine-learning,ApJ,1407.1835,10.1088/0004-637X/793/2/135,https://ui.adsabs.harvard.edu/abs/2014ApJ...793..135S
1532,Sevilla-Noarbe2015A&C....11...64S,"Sevilla-Noarbe, I. and Etayo-Sotos, P.",2015,Effect of training characteristics on object classification: An application using Boosted Decision Trees,machine-learning,Astronomy and Computing,1504.06776,10.1016/j.ascom.2015.03.010,https://ui.adsabs.harvard.edu/abs/2015A&C....11...64S
1533,ShankarA2020arXiv201013102S,"Shankar A, Vijay",2020,Identification of orientation of galaxies in the Galaxy Zoo dataset using spectral clustering,machine-learning,arXiv e-prints,2010.13102,,https://ui.adsabs.harvard.edu/abs/2020arXiv201013102S
1534,Sharma2009ApJ...703.1061S,"Sharma, Sanjib and Johnston, Kathryn V.",2009,A Group Finding Algorithm for Multidimensional Data Sets,"machine-learning, methods",ApJ,,10.1088/0004-637X/703/1/1061,https://ui.adsabs.harvard.edu/abs/2009ApJ...703.1061S
1535,Shatskiy2019JETP..128..592S,"Shatskiy, A.~A. and Evgeniev, I. Yu.",2019,Neural Network Astronomy as a New Tool for Observing Bright and Compact Objects,machine-learning,Soviet Journal of Experimental and Theoretical Physics,1905.07407,10.1134/S106377611903021X,https://ui.adsabs.harvard.edu/abs/2019JETP..128..592S
1536,Shen2022MLS&T...3a5007S,"Shen, Hongyu and Huerta, E.~A. and O'Shea, Eamonn and Kumar, Prayush and Zhao, Zhizhen",2022,Statistically-informed deep learning for gravitational wave parameter estimation,machine-learning,Machine Learning: Science and Technology,1903.01998,10.1088/2632-2153/ac3843,https://ui.adsabs.harvard.edu/abs/2022MLS&T...3a5007S
1537,Shi2022MNRAS.tmp.1500S,"Shi, Rui and Wang, Wenting and Li, Zhaozhou and Han, Jiaxin and Shi, Jingjing and Rodriguez-Gomez, Vicente and Peng, Yingjie and Li, Qingyang",2022,A machine learning approach to infer the accreted stellar mass fractions of central galaxies in the TNG100 simulation,machine-learning,MNRAS,2112.07203,10.1093/mnras/stac1541,https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1500S
1538,Shih2022MNRAS.509.5992S,"Shih, David and Buckley, Matthew R. and Necib, Lina and Tamanas, John",2022,VIA MACHINAE: Searching for stellar streams using unsupervised machine learning,machine-learning,MNRAS,2104.12789,10.1093/mnras/stab3372,https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.5992S
1539,Shirasaki2021MNRAS.504.1825S,"Shirasaki, Masato and Moriwaki, Kana and Oogi, Taira and Yoshida, Naoki and Ikeda, Shiro and Nishimichi, Takahiro",2021,Noise reduction for weak lensing mass mapping: an application of generative adversarial networks to Subaru Hyper Suprime-Cam first-year data,machine-learning,MNRAS,1911.12890,10.1093/mnras/stab982,https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.1825S
1540,Shy2022AJ....164....6S,"Shy, Sarah and Tak, Hyungsuk and Feigelson, Eric D. and Timlin, John D. and Babu, G. Jogesh",2022,Incorporating Measurement Error in Astronomical Object Classification,machine-learning,AJ,2112.06831,10.3847/1538-3881/ac6e64,https://ui.adsabs.harvard.edu/abs/2022AJ....164....6S
1541,Sicilian2022arXiv220313825S,"Sicilian, Dominic and Civano, Francesca and Cappelluti, Nico and Buchner, Johannes and Peca, Alessandro",2022,X-Ray Redshifts of Obscured Chandra Source Catalog AGN,"AGN, photometric-redshift, machine-learning",arXiv e-prints,2203.13825,,https://ui.adsabs.harvard.edu/abs/2022arXiv220313825S
